subject,predicate,object,subjectComment,predicateComment,objectComment
ProfileSettings,canEditProfile,User,Represents profile customization settings for the user.,Indicates permission to edit profile information.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
ProfileSettings,canEditAvatar,User,Represents profile customization settings for the user.,Indicates permission to edit profile avatar.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
ProfileSettings,canEditHeader,User,Represents profile customization settings for the user.,Indicates permission to edit profile header.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
Post,postedBy,User,Represents a specific post or piece of content created by a user.,"
        Indicates the user who created or published this post.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
ReblogRetweetPost,retweetedBy,User,,Menunjukkan pengguna yang melakukan aksi retweet atau reblog ini.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
ReblogRetweetPost,retweetsOriginalPost,Post,,Menunjukkan postingan asli yang di-retweet atau di-reblog.,Represents a specific post or piece of content created by a user.
User,addToQueue,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Allows a user to add a post to a queue for later publication.,Represents actions related to creating and managing content on a microblogging platform.
User,schedulePost,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Schedules a post to be published at a specified time.,Represents actions related to creating and managing content on a microblogging platform.
User,saveAsDraft,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Saves a post as a draft for future editing or posting.,Represents actions related to creating and managing content on a microblogging platform.
User,postAsPrivate,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Posts content with a private visibility setting.,Represents actions related to creating and managing content on a microblogging platform.
User,addContentLabel,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Adds a label or tag to the content for categorization or filtering.,Represents actions related to creating and managing content on a microblogging platform.
User,controlReblogRetweet,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Enables or disables the option for other users to reblog or retweet the content.,Represents actions related to creating and managing content on a microblogging platform.
User,postMedia,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Posts media content such as images, videos, or GIFs.",Represents actions related to creating and managing content on a microblogging platform.
User,postLink,ContentCreation,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Posts a link within the content.,Represents actions related to creating and managing content on a microblogging platform.
User,likesPost,Post,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,Represents a specific post or piece of content created by a user.
User,likesComment,Comment,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,likesReblogRetweetPost,ReblogRetweetPost,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,likesReplies,Reply,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,reblogsRetweetsA,Post,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,Represents a specific post or piece of content created by a user.
User,reblogsRetweetsComment,Comment,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,reblogsRetweetsAgainA,ReblogRetweetPost,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,commentsOn,Post,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,Represents a specific post or piece of content created by a user.
User,commentsOnReblogRetweetPost,ReblogRetweetPost,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
Comment,commentedBy,User,,"
            Points to the user who wrote this comment.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
Comment,commentedOn,Post,,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        ",Represents a specific post or piece of content created by a user.
User,repliesOnComment,Comment,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,deletesReblogRetweetPost,Reply,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
Block,blockInitiator,User,,"
            The user who initiates the block action.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
Block,blockedUser,User,,"
            The user who is being blocked.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,blocks,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,unblocks,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,reports,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,reportPost,Post,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,Represents a specific post or piece of content created by a user.
User,reportsReply,Reply,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,reportComment,Comment,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,
User,follow,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,unfollow,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,asks,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,mutesNotifications,Notifications,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user mutes notifications.,Represents user notifications and their related settings on the platform.
User,mutesWords,Words,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user mutes specific words.,
